geomaster_name,admin_level,centroid_lon,centroid_lat,month,year,population_groups_concat,individuals,country_name,last_update
Sicily,Province,14.25,37.75,12,2014,Mediterranean Sea Arrivals,109528,Italy,2016-12-22
Calabria,Province,16.5,39.0,12,2014,Mediterranean Sea Arrivals,22503,Italy,2016-12-22
Apulia,Province,16.7338,41.0,12,2014,Mediterranean Sea Arrivals,17485,Italy,2016-12-22
Campania,Province,14.9205,40.91,12,2014,Mediterranean Sea Arrivals,9351,Italy,2016-12-22
Sardinia,Province,9.0,40.0,12,2014,Mediterranean Sea Arrivals,160,Italy,2016-12-22
Liguria,Province,8.8333,44.5,12,2014,Mediterranean Sea Arrivals,108,Italy,2016-12-22
Sicily,Province,14.25,37.75,12,2015,Mediterranean Sea Arrivals,104709,Italy,2016-12-22
Calabria,Province,16.5,39.0,12,2015,Mediterranean Sea Arrivals,29437,Italy,2016-12-22
Apulia,Province,16.7338,41.0,12,2015,Mediterranean Sea Arrivals,11190,Italy,2016-12-22
Sardinia,Province,9.0,40.0,12,2015,Mediterranean Sea Arrivals,5451,Italy,2016-12-22
Campania,Province,14.9205,40.91,12,2015,Mediterranean Sea Arrivals,2556,Italy,2016-12-22
Liguria,Province,8.8333,44.5,12,2015,Mediterranean Sea Arrivals,499,Italy,2016-12-22
Sicily,Province,14.25,37.75,12,2016,Mediterranean Sea Arrivals,123706,Italy,2017-01-29
Calabria,Province,16.5,39.0,12,2016,Mediterranean Sea Arrivals,31450,Italy,2017-01-29
Apulia,Province,16.7338,41.0,12,2016,Mediterranean Sea Arrivals,12331,Italy,2017-01-29
Sardinia,Province,9.0,40.0,12,2016,Mediterranean Sea Arrivals,9078,Italy,2017-01-29
Campania,Province,14.9205,40.91,12,2016,Mediterranean Sea Arrivals,4871,Italy,2017-01-29
Sicily,Province,14.25,37.75,12,2017,Mediterranean Sea Arrivals,76798,Italy,2017-12-31
Calabria,Province,16.5,39.0,12,2017,Mediterranean Sea Arrivals,23633,Italy,2017-12-31
Campania,Province,14.9205,40.91,12,2017,Mediterranean Sea Arrivals,6953,Italy,2017-12-31
Apulia,Province,16.7338,41.0,12,2017,Mediterranean Sea Arrivals,6444,Italy,2017-12-31
Sardinia,Province,9.0,40.0,12,2017,Mediterranean Sea Arrivals,5541,Italy,2017-12-31
Sicily,Province,14.25,37.75,12,2018,Mediterranean Sea Arrivals,19076,Italy,2018-12-31
Calabria,Province,16.5,39.0,12,2018,Mediterranean Sea Arrivals,2196,Italy,2018-12-31
Apulia,Province,16.7338,41.0,12,2018,Mediterranean Sea Arrivals,1100,Italy,2018-12-31
Sardinia,Province,9.0,40.0,12,2018,Mediterranean Sea Arrivals,590,Italy,2018-12-31
